"Критерий","CoinKeeper","Zenmoney","Money Lover","Средняя оценка"
"1. Тестирование единства дизайна","","","",""
"1.1 Соблюдение цветовой гаммы","4","5","4","4.33"
"1.2 Совместимость звуков, рисунков и анимаций","5","4","5","4.67"
"1.3 Доступность подачи информации","4","4","5","4.33"
"1.4 Наличие логотипа","Есть","Есть","Есть","-"
"1.5 Эксклюзивный дизайн","5","4","4","4.33"
"2. Тестирование структуры сайта и навигации","","","",""
"2.1 Дружелюбность интерфейса","5","4","4","4.33"
"2.2 Доступность контактной информации","4","5","4","4.33"
"2.3 Легкость поиска информации","5","5","4","4.67"
"2.4 Присутствие справочной системы","Да","Да","Да","-"
"2.5 Простота нахождения разделов","5","4","4","4.33"
"3. Тестирование контента","","","",""
"3.1 Актуальность информации","5","5","4","4.67"
"3.2 Семантическая наполненность","4","4","5","4.33"
"3.3 Уникальность тематических материалов","4","5","4","4.33"
"4. Тестирование функциональности","","","",""
"4.1 Корректность ввода данных","Есть","Есть","Есть","-"
"4.2 Работоспособность ссылок","Есть","Есть","Есть","-"
"4.3 Различные права доступа","Есть","Есть","Нет","-"
"4.4 Интеграция с соцсетями/сервисами","Есть","Есть","Есть","-"
"4.5 Мультимедиа информация","Есть","Нет","Есть","-"
"4.6 Интерактивные помощники","Есть","Нет","Есть","-"
"4.7 Доступ к закрытой информации","Нет","Нет","Нет","-"
"4.8 Форумы/чаты","Нет","Нет","Нет","-"
"4.9 Наличие новостного блока","Есть","Нет","Нет","-"
"5. Технические характеристики","","","",""
"5.1 Дата создания домена","2013","2011","2012","-"
"5.2 Возраст домена","10 лет","12 лет","11 лет","-"
"5.3 Контактные данные","Есть","Есть","Есть","-"
"5.4 Серверная информация","-","-","-","-"
"5.5 Кроссбраузерность","Да","Да","Да","-"
"5.6 Анализ заголовков","-","-","-","-"
"5.7 Google сниппет","Есть","Есть","Есть","-"
"5.8 Индексация поисковыми системами","Да","Да","Да","-"
"5.9 Зависимость URL","Нет","Нет","Нет","-"
"5.10 Время загрузки","1.2 с","1.5 с","1.4 с","-"
